title,release_date,genre,score
No Surrender: Battle of the Bulge,2007-07-19,Strategy,5.5
TrackMania United,2007-07-18,Racing,8.0
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007-07-27,Shooter,7.2
Call for Heroes: Pompolic Wars,2007-07-20,"Action, RPG",1.2
Attack on Pearl Harbor,2007-08-13,Flight,4.6
Sword of the New World: Granado Espada,2007-08-09,RPG,6.5
Dead Reefs,2007-08-27,Adventure,4.0
BioShock,2007-08-17,Shooter,9.7
BioShock (Limited Edition),2007-08-17,Shooter,9.7
World in Conflict,2007-09-07,Strategy,9.3
Combat Mission: Shock Force,2007-09-12,Strategy,5.2
Two Worlds,2007-09-11,RPG,7.3
Guild Wars: Eye of the North,2007-09-13,RPG,7.9
Blazing Angels 2: Secret Missions of WWII,2007-09-25,"Flight, Action",8.0
John Woo Presents Stranglehold,2007-09-20,"Action, Adventure",8.1
The Sims 2: Bon Voyage,2007-10-01,Simulation,8.0
Undercover: Operation Wintersun,2007-09-28,Adventure,6.5
Galactic Assault: Prisoner of Power,2007-09-25,Strategy,6.2
Enemy Territory: Quake Wars,2007-10-02,Shooter,8.5
The Chosen-- Well of Souls,2007-10-05,"Action, RPG",4.5
Neverwinter Nights 2: Mask of the Betrayer,2007-10-15,RPG,8.5
The Orange Box,2007-10-09,"Compilation, Compilation",9.5
SEGA Rally Revo,2007-10-09,Racing,8.0
Tarr Chronicles,2007-10-12,Simulation,7.0
CSI: Crime Scene Investigation: Hard Evidence,2007-10-19,Adventure,6.1
Fury League,2007-10-24,"Action, RPG",6.5
Clive Barker's Jericho,2007-10-26,Shooter,5.6
You Are Empty,2007-10-30,Shooter,2.1
F.E.A.R. Perseus Mandate,2007-11-06,Shooter,5.9
