title,release_date,genre,developer,publisher,required_age,critic_score,critic_score_phrase,average_playtime,median_playtime,owners,price
Street Fighter IV,2009-07-15,Fighting,Capcom,Capcom,0,8.9,Great,0,0,150000,13.99
East India Company,2009-07-30,Strategy,Nitro Games,Nitro Games,0,7.7,Good,0,0,75000,7.99
Hearts of Iron III,2009-08-13,Strategy,Paradox Development Studio,Paradox Interactive,0,8.5,Great,809,1364,750000,7.99
Bionic Commando,2009-07-29,Action,Capcom,Capcom,0,7.5,Good,20,30,350000,6.49
Bionic Commando,2009-07-29,Action,Capcom,Capcom,18,7.5,Good,15,16,350000,6.49
Osmos,2009-08-20,Puzzle,Hemisphere Games,Hemisphere Games,0,8.5,Great,27,27,750000,6.99
Zuma's Revenge,2009-09-15,Puzzle,"PopCap Games, Inc.","PopCap Games, Inc.",0,8.0,Great,0,0,150000,4.25
Majesty 2: The Fantasy Kingdom Sim,2009-09-15,Strategy,1C:InoCo,Paradox Interactive,0,7.5,Good,0,0,150000,7.99
Watchmen: The End is Nigh -- Part 2,2009-08-26,Action,Deadline Games  ,Warner Bros. Interactive Entertainment,16,5.0,Mediocre,0,0,35000,3.99
Order of War,2009-09-25,Strategy,Wargaming.net,Square Enix,0,8.0,Great,319,589,350000,5.99
Star Wars: The Clone Wars -- Republic Heroes,2009-10-06,Action,Krome Studios,LucasArts;Lucasfilm;Disney Interactive,0,4.8,Bad,2,2,750000,15.49
Mini Ninjas,2009-10-06,Action,IO Interactive,Square Enix,0,8.0,Great,27,53,350000,7.99
Risen,2009-10-09,RPG,Piranha Bytes,Deep Silver,0,8.6,Great,994,650,750000,7.99
Operation Flashpoint: Dragon Rising,2009-10-08,Shooter,Codemasters Studios,Codemasters,0,8.2,Great,413,417,750000,6.99
Tropico 3,2009-10-16,Strategy,Haemimont Games,Kalypso Media Digital,0,8.4,Great,291,425,1500000,7.99
Machinarium,2009-10-20,Adventure,Amanita Design,Amanita Design,0,8.1,Great,165,241,750000,7.99
Star Wars: The Force Unleashed -- Ultimate Sith Edition,2009-11-02,Action,Krome Studios,LucasArts;Lucasfilm;Disney Interactive,0,7.5,Good,2,2,750000,15.49
Dragon Age: Origins,2009-11-03,RPG,BioWare,Electronic Arts,0,9.0,Amazing,2061,2889,750000,14.99
Call of Duty: Modern Warfare 2,2009-11-10,Shooter,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),0,9.5,Amazing,999,580,7500000,19.99
Painkiller: Resurrection,2009-11-09,Shooter,Homegrown Games,THQ Nordic,0,2.6,Painful,0,0,150000,8.99
Dragon Age: Origins (Collector's Edition),2009-11-03,RPG,BioWare,Electronic Arts,0,9.0,Amazing,2061,2889,750000,14.99
Torchlight,2009-11-18,"Action, RPG",Runic Games,Runic Games,0,8.6,Great,1108,1144,1500000,10.99
Left 4 Dead 2,2009-11-16,Shooter,Valve,Valve,0,9.0,Amazing,1615,566,15000000,7.19
Serious Sam HD,2009-12-02,Shooter,Croteam,Devolver Digital,0,7.5,Good,277,271,1500000,10.99
Rogue Warrior,2009-12-04,Shooter,Rebellion,Bethesda Softworks,0,1.5,Unbearable,29,29,75000,3.99
Wings of Prey,2010-01-07,"Flight, Action",Gaijin Entertainment,Gaijin Entertainment,0,8.3,Great,1154,1154,150000,6.99
Mass Effect 2,2010-01-22,RPG,BioWare,Electronic Arts,0,9.6,Amazing,1087,736,1500000,19.99
Dark Void,2010-01-20,Action,Airtight Games,Capcom,0,5.0,Mediocre,143,143,75000,6.49
Dragon Age: Origins -- Awakening,2010-03-16,RPG,BioWare,Electronic Arts,0,8.5,Great,0,0,150000,9.99
Supreme Commander 2,2010-03-03,Strategy,Gas Powered Games,Square Enix,0,8.4,Great,1834,2894,1500000,8.99
Aliens vs. Predator,2010-02-19,Action,Rebellion,SEGA,0,7.3,Good,170,168,1500000,9.99
Dragon Age: Origins -- Return to Ostagar,2010-03-02,RPG,BioWare,Electronic Arts,0,8.5,Great,0,0,150000,9.99
Battlefield: Bad Company 2 (Limited Edition),2010-03-02,Shooter,DICE,Electronic Arts,0,8.9,Great,1200,671,3500000,14.99
Battlefield: Bad Company 2,2010-03-02,Shooter,DICE,Electronic Arts,0,8.9,Great,1200,671,3500000,14.99
Just Cause 2,2010-03-23,Action,Avalanche Studios,Square Enix,18,8.8,Great,519,272,3500000,9.99
Command & Conquer 4: Tiberian Twilight,2010-03-18,Strategy,EA Los Angeles,Electronic Arts,0,7.4,Good,160,267,350000,9.99
"Warhammer 40,000: Dawn of War II -- Chaos Rising",2010-03-17,Strategy,Relic Entertainment;Feral Interactive (Mac/Linux),SEGA;Feral Interactive (Mac/Linux),16,8.5,Great,186,249,1500000,14.99
Lead and Gold: Gangs of the Wild West,2010-05-06,Shooter,Fatshark,Fatshark,16,7.0,Good,112,128,750000,7.99
Grand Theft Auto: Episodes from Liberty City,2010-04-16,Compilation,Rockstar North / Toronto,Rockstar Games,18,9.2,Amazing,508,112,3500000,14.99
Mount & Blade: Warband,2010-04-13,RPG,TaleWorlds Entertainment,TaleWorlds Entertainment,0,8.1,Great,7932,1884,3500000,14.99
LEGO Harry Potter: Years 1-4,2010-06-29,"Action, Adventure",TT Games,Warner Bros. Interactive Entertainment,0,8.5,Great,518,989,350000,9.99
Singularity,2010-06-29,Shooter,Raven Software,Activision,18,7.0,Good,148,148,150000,14.99
