title,release_date,genre,critic_score,critic_score_phrase,developer,publisher,required_age,average_playtime,median_playtime,owners,price,main_story,main_extra,completionist,all_styles
1001 Spikes,2014-06-08,Platformer,8.0,Great,"Nicalis, Inc.","Nicalis, Inc.",0,214,215,75000,9.99,7.14,14.37,16.91,13.38
140,2013-10-16,Platformer,8.0,Great,Carlsen Games,Carlsen Games,0,205,274,350000,3.99,1.2,2.23,5.26,1.56
1979 Revolution,2016-04-21,"Action,Adventure",8.0,Great,iNK Stories;N-Fusion Interactive,iNK Stories,0,0,0,75000,4.79,2.1,2.85,5.88,2.66
7 Wonders: Treasures of Seven,2008-11-06,Puzzle,5.9,Mediocre,MumboJumbo,MumboJumbo,0,0,0,35000,6.99,7.1,7.42,9.0,7.43
A Bird Story,2014-11-26,RPG,8.8,Great,Freebird Games,Freebird Games,0,257,476,350000,2.79,1.27,1.39,1.41,1.34
A Game of Thrones: Genesis,2011-10-14,Strategy,6.0,Okay,Cyanide Studios,Focus Home Interactive;1C-SoftClub,0,8,8,150000,6.99,10.2,19.27,61.51,20.65
A Valley Without Wind,2012-05-04,Adventure,5.5,Mediocre,"Arcen Games, LLC","Arcen Games, LLC",0,84,84,350000,0.0,13.0,16.25,58.33,18.82
A Vampyre Story,2008-12-12,Adventure,7.6,Good,Autumn Moon,Strategy First,0,0,0,10000,14.99,7.43,8.8,8.97,8.68
A Virus Named Tom,2012-08-02,"Puzzle,Action",7.0,Good,Misfits Attic,Misfits Attic,0,92,97,350000,6.99,4.12,11.07,26.88,5.7
A.R.E.S.: Extinction Agenda,2011-02-25,Platformer,7.5,Good,Extend Studio,Extend Studio;ORiGO GAMES,0,191,191,150000,3.99,2.38,3.54,10.33,2.99
Aaru's Awakening,2015-03-03,Platformer,6.7,Okay,Lumenox ehf,Lumenox ehf,0,0,0,35000,10.99,3.03,3.67,3.99,3.31
Abyss Odyssey,2014-07-24,Action,6.7,Okay,ACE Team,SEGA,16,173,256,350000,10.99,4.13,8.04,18.21,7.13
Aces of the Galaxy,2008-07-09,Action,7.5,Good,Artech Studios,Activision,0,0,0,10000,6.99,0.92,1.0,3.0,1.15
Achron,2011-09-16,Strategy,5.0,Mediocre,Hazardous Software Inc.,Hazardous Software Inc.,0,0,0,35000,14.99,70.0,0.0,0.0,70.0
Act of War: Direct Action,2005-03-14,Strategy,8.5,Great,Eugen Systems,THQ Nordic,0,0,0,35000,1.99,11.78,12.28,12.4,11.99
Adr1ft,2016-03-28,Adventure,6.0,Okay,THREE ONE ZERO,505 Games,0,0,0,75000,14.99,4.67,5.66,9.25,5.31
Advent Rising,2005-08-09,Action,7.9,Good,GlyphX Games,Majesco Entertainment,0,0,0,75000,7.19,8.01,8.14,8.82,8.11
Adventure Time: Explore the Dungeon Because I Don't Know!,2013-12-06,Adventure,3.5,Awful,NGD Studios,Cartoon Network Games,0,0,0,35000,6.99,8.52,13.93,30.57,10.43
Age of Empires III,2005-10-14,Strategy,8.8,Great,Ensemble Studios,Microsoft Studios,0,902,211,3500000,29.99,15.06,19.27,31.86,17.8
Age of Mythology: The Titans,2003-09-29,Strategy,8.9,Great,SkyBox Labs;Ensemble Studios,Microsoft Studios,0,668,859,1500000,22.99,9.5,15.12,18.62,11.56
Age of Wonders: Shadow Magic,2003-07-30,Strategy,8.5,Great,Triumph Studios,Paradox Interactive,0,161,254,150000,3.99,33.12,63.93,81.67,46.82
Age of Wonders III,2014-04-02,Strategy,7.1,Good,Triumph Studios,Paradox Interactive,0,984,861,750000,22.99,26.44,74.11,145.33,46.05
Air Conflicts: Vietnam,2013-12-12,"Flight,Action",3.5,Awful,Games Farm,Games Farm,0,0,0,35000,11.39,4.97,7.08,0.0,5.21
Akaneiro: Demon Hunters,2013-02-19,RPG,4.5,Bad,Spicy Horse,Spicy Horse,0,0,0,75000,0.0,3.0,5.73,5.75,5.28
Alan Wake,2012-02-15,Action,9.0,Amazing,Remedy Entertainment,Remedy Entertainment,0,239,228,3500000,11.39,11.18,14.41,26.73,13.06
Alan Wake's American Nightmare,2012-05-29,Action,7.5,Good,Remedy Entertainment,Remedy Entertainment,0,71,123,1500000,6.19,3.65,4.67,8.54,4.32
Alekhine's Gun,2016-03-11,Action,3.0,Awful,Maximum Games,Maximum Games;KISS ltd,0,0,0,35000,29.99,11.57,16.59,23.8,13.21
Alice: Madness Returns,2011-06-16,Action,6.5,Okay,Mzonestudio,Microïds Indie,0,0,0,10000,1.69,13.96,15.86,22.3,15.44
Alien: Isolation,2014-10-03,Action,5.9,Mediocre,Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),18,563,720,1500000,29.99,18.31,22.49,34.06,20.76
Alien Breed 2: Assault,2010-10-06,Shooter,8.0,Great,Team17 Digital Ltd,Team17 Digital Ltd,0,96,96,350000,6.99,5.6,6.67,8.94,6.17
Alien Breed 3: Descent,2011-03-02,Shooter,6.5,Okay,Team17 Digital Ltd,Team17 Digital Ltd,0,1,1,350000,6.99,5.22,6.15,8.24,5.7
Alien Rage,2013-10-02,Shooter,4.4,Bad,CI Games,CI Games,0,317,355,350000,14.99,6.53,9.6,15.9,7.61
Alien Shooter: Vengeance,2007-03-22,"Action,RPG",7.5,Good,Sigma Team Inc.,Sigma Team Inc.,0,0,0,350000,3.99,5.6,6.0,9.0,6.15
Alien Shooter 2: Reloaded,2009-06-15,"Action,RPG",7.5,Good,Sigma Team Inc.,Sigma Team Inc.,0,169,169,350000,3.99,5.16,5.97,6.8,5.59
Aliens vs. Predator,2010-02-19,Action,7.3,Good,Rebellion,SEGA,0,170,168,1500000,9.99,8.14,11.85,24.21,9.49
Alone in the Dark,2008-07-08,Adventure,3.5,Awful,Eden Games;Hydravision Entertainment,THQ Nordic,0,86,86,75000,6.99,7.64,10.76,19.86,9.28
Alpha Protocol,2010-06-01,"Action,RPG",6.3,Okay,Obsidian Entertainment,SEGA,16,267,214,750000,9.99,13.02,17.41,25.94,15.99
America's Army 3,2009-07-02,Shooter,8.4,Great,U.S. Army,U.S. Army,0,12,13,750000,0.0,0.0,0.0,512.3,512.3
American Conquest,2003-02-10,Strategy,8.2,Great,GSC Game World,GSC World Publishing,0,0,0,150000,3.99,29.81,40.0,0.0,31.0
American Conquest: Fight Back,2003-10-14,Strategy,7.8,Good,GSC Game World,GSC World Publishing,0,2,3,150000,3.99,27.28,30.0,0.0,28.64
Amnesia: The Dark Descent,2010-09-03,Adventure,8.5,Great,Frictional Games,Frictional Games,0,173,41,3500000,14.99,7.95,9.1,11.68,8.48
Amnesia: A Machine for Pigs,2013-09-10,Adventure,8.3,Great,The Chinese Room,Frictional Games,0,100,123,3500000,14.99,4.14,5.03,5.89,4.62
Among the Sleep,2014-06-05,Adventure,7.3,Good,Krillbite Studio,Krillbite Studio,0,83,83,350000,13.49,2.36,3.13,3.53,2.77
Analogue: A Hate Story,2012-05-11,Other,7.0,Good,Love Conquers All Games,Love Conquers All Games,0,167,167,150000,7.19,3.08,5.0,6.18,4.71
Ancient Space,2014-10-02,Strategy,6.6,Okay,CreativeForge Games,Paradox Interactive,0,0,0,75000,14.99,22.74,0.0,0.0,22.74
And Yet It Moves,2009-04-21,Platformer,8.4,Great,Broken Rules,Broken Rules,0,17,22,350000,6.99,3.05,4.34,13.62,3.33
Anna,2012-07-24,Adventure,5.5,Mediocre,Dreampainters,Kalypso Media Digital,0,269,269,350000,7.99,9.68,11.11,11.44,10.72
Anno 2070,2011-12-02,Strategy,8.5,Great,Blue Byte;Related Designs,Ubisoft,0,879,846,750000,16.99,24.72,45.71,209.41,43.35
Anno 2205,2015-11-04,Simulation,7.0,Good,Blue Byte,Ubisoft,0,1930,3613,350000,33.99,18.07,37.7,64.86,27.81
Anomaly: Warzone Earth,2011-04-08,Action,8.0,Great,11 bit studios,11 bit studios,0,200,181,750000,7.99,6.41,10.3,23.24,8.94
Anomaly 2,2013-05-15,Strategy,8.0,Great,11 bit studios,11 bit studios,0,87,115,350000,11.49,6.42,9.17,13.3,7.39
Antichamber,2013-01-31,Puzzle,8.6,Great,Alexander Bruce,Demruth,0,176,181,1500000,14.99,5.94,7.32,8.89,7.05
Apotheon,2015-02-05,"Action,RPG",6.9,Okay,Alientrap,Alientrap,0,716,716,350000,10.99,8.19,12.29,14.91,11.65
AquaNox 2: Revelation,2003-09-23,Shooter,6.0,Okay,THQ Nordic,THQ Nordic,0,0,0,150000,4.49,10.78,13.15,16.35,12.98
ArmA: Combat Operations,2007-05-10,Shooter,7.3,Good,Bohemia Interactive,Bohemia Interactive,0,0,0,35000,5.99,11.05,14.38,36.4,18.57
ArmA II: Operation Arrowhead,2010-07-01,Shooter,8.0,Great,Bohemia Interactive,Bohemia Interactive,18,8488,1120,3500000,11.99,8.0,8.37,15.83,9.03
Armed & Dangerous,2003-12-03,Action,8.3,Great,Planet Moon Studios,LucasArts;Lucasfilm;Disney Interactive,0,100,100,35000,4.79,5.96,7.65,9.75,6.5
Armello,2015-09-09,Board,5.6,Mediocre,League of Geeks,League of Geeks,0,1145,1606,750000,14.99,1.99,21.2,99.25,12.76
Army Men: Sarge's War,2004-09-22,Shooter,3.8,Awful,The 3DO Company,2K,0,0,0,10000,4.69,4.82,5.64,0.0,5.08
Art of Murder: FBI Confidential,2008-07-30,Adventure,4.5,Bad,City Interactive S.A.,City Interactive S.A.,0,0,0,10000,3.99,7.1,7.46,7.55,7.3
Assassin's Creed: Brotherhood,2011-03-17,Action,8.0,Great,Ubisoft Montreal,Ubisoft,0,360,476,750000,8.59,15.25,25.57,41.53,24.38
Assassin's Creed II,2010-03-12,Action,8.9,Great,Ubisoft Montreal,Ubisoft,0,2908,3143,1500000,49.99,19.21,26.11,35.47,26.03
Assassin's Creed III,2012-11-23,"Action,Adventure",8.6,Great,Ubisoft Montreal,Ubisoft,0,2908,3143,1500000,49.99,16.41,31.22,55.26,26.94
Assassin's Creed IV: Black Flag,2013-10-29,"Action,Adventure",8.5,Great,Ubisoft Montreal,Ubisoft,0,3234,1761,1500000,16.99,23.46,41.1,61.52,39.42
Assassin's Creed Liberation HD,2014-01-18,Action,5.2,Mediocre,Ubisoft Sofia,Ubisoft,0,934,934,150000,16.99,7.91,11.23,16.1,10.72
Assassin's Creed Unity,2014-11-11,"Action,Adventure",7.8,Good,Ubisoft,Ubisoft,0,1686,1790,750000,25.99,17.21,35.22,79.92,31.97
Assault Android Cactus,2015-09-28,Shooter,8.8,Great,Witch Beam,Witch Beam,0,379,379,150000,10.99,3.28,9.29,31.92,5.33
Atom Zombie Smasher,2011-03-21,Action,7.5,Good,Blendo Games,Blendo Games,0,72,101,350000,6.99,4.2,9.34,27.52,6.45
Audiosurf,2008-02-27,"Music,Action",8.6,Great,Dylan Fitterer,Dylan Fitterer,0,507,507,350000,10.99,7.76,12.22,16.67,10.93
Audiosurf 2,2015-05-29,"Music,Action",7.5,Good,Dylan Fitterer,Dylan Fitterer,0,507,507,350000,10.99,10.68,18.25,280.5,18.76
Aura: Fate of the Ages,2004-07-01,Adventure,7.3,Good,Streko Graphics,THQ Nordic,0,0,0,75000,4.49,5.5,5.78,7.62,6.22
Avatar: The Game,2009-12-01,Action,6.8,Okay,Bright Phoenix Studio,Bright Phoenix Studio,0,0,0,10000,5.19,8.18,13.47,17.5,10.27
Avencast: Rise of the Mage,2007-12-11,RPG,7.0,Good,ClockStone Studios,Meridian4,0,56,56,350000,6.99,12.74,15.41,17.59,15.1
Banished,2014-02-21,Simulation,8.3,Great,Shining Rock Software LLC,Shining Rock Software LLC,0,1209,825,1500000,14.99,15.24,32.44,92.37,35.3
Barrow Hill: Curse of the Ancient Circle,2006-08-28,Adventure,8.1,Great,Shadow Tor Studios,Iceberg Interactive,0,0,0,35000,5.59,4.92,5.32,5.05,5.17
Bastion,2011-08-22,"Action,RPG",9.0,Amazing,Supergiant Games,Supergiant Games,0,391,234,3500000,11.39,6.24,9.27,20.43,8.22
Batman: Arkham Asylum,2009-09-11,Action,9.3,Amazing,Rocksteady Studios;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,569,545,3500000,14.99,11.99,16.4,25.33,14.77
Batman: Arkham City,2011-11-29,Action,9.5,Amazing,Rocksteady Studios;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,569,545,3500000,14.99,12.46,21.63,45.75,18.21
Batman: Arkham Origins Blackgate -- Deluxe Edition,2013-10-25,Action,7.4,Good,Armature Studio,WB Games,0,129,189,750000,14.99,7.5,10.36,18.89,10.02
Batman: Arkham Origins,2013-10-25,Action,7.8,Good,WB Games Montreal;Splash Damage,Warner Bros. Interactive Entertainment,16,538,443,3500000,0.0,12.42,21.9,41.39,18.58
"Batman: Arkham Origins -- Cold, Cold Heart",2014-04-25,Action,7.0,Good,Rocksteady Studios;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,569,545,3500000,14.99,2.65,3.2,3.83,3.09
Batman: The Telltale Series -- Episode 2: Children of Arkham,2016-09-20,Adventure,8.0,Great,Rocksteady Studios;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,569,545,3500000,14.99,1.32,1.36,1.49,1.37
Batman: The Telltale Series -- Episode 1: Realm of Shadows,2016-08-02,Adventure,7.5,Good,Rocksteady Studios;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,569,545,3500000,14.99,1.94,2.06,2.1,2.0
Battle of Europe,2006-05-31,"Flight,Action",5.4,Mediocre,Maus Software,Strategy First,0,0,0,10000,6.99,0.0,0.0,4.33,4.33
Battleborn,2016-05-06,Shooter,7.1,Good,Gearbox Software,2K,0,652,752,750000,0.0,8.93,35.12,168.19,25.68
Battlefield: Bad Company 2,2010-03-02,Shooter,8.9,Great,DICE,Electronic Arts,0,1200,671,3500000,14.99,6.91,10.26,18.43,7.81
Battlefleet Gothic: Armada,2016-04-22,Strategy,7.1,Good,Tindalos Interactive,Focus Home Interactive,0,856,1647,350000,24.99,20.8,23.58,40.74,25.44
Battlestations: Midway,2007-01-30,"Action,Simulation",8.5,Great,Eidos Interactive,Square Enix,0,0,0,350000,4.99,7.35,9.08,11.22,7.74
Beat Hazard,2010-07-15,Shooter,7.6,Good,Cold Beam Games,Cold Beam Games,0,437,633,750000,6.99,4.63,12.13,24.42,10.67
Bejeweled 3,2010-12-07,Puzzle,8.0,Great,"PopCap Games, Inc.","PopCap Games, Inc.",0,85,158,350000,4.25,4.51,10.18,48.65,13.06
Bejeweled Twist,2008-11-06,Puzzle,7.4,Good,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,0,35000,4.25,3.83,0.0,0.0,3.83
Bet On Soldier: Blood Sport,2005-10-07,Shooter,7.0,Good,Kylotonn,Microids,16,42,42,35000,5.59,8.67,11.24,14.91,11.32
Betrayer,2014-04-03,"Action,Adventure",5.0,Mediocre,Blackpowder Games,Blackpowder Games,0,112,123,350000,3.99,6.84,9.07,13.16,9.34
Beyond Divinity,2004-05-06,RPG,8.0,Great,Larian Studios,Larian Studios,0,13,13,750000,4.79,21.28,35.52,61.88,35.32
Beyond Eyes,2015-08-07,Adventure,5.5,Mediocre,Tiger and Squid;Team17 Digital Ltd,Team17 Digital Ltd,0,763,763,150000,9.99,2.01,2.81,3.45,2.44
Beyond Good & Evil,2003-11-11,"Action,Adventure",9.0,Amazing,Ubisoft,Ubisoft,0,355,448,350000,4.29,10.84,12.21,13.2,12.01
Bionic Commando,2009-07-29,Action,7.5,Good,Capcom,Capcom,0,20,30,350000,6.49,6.86,8.92,16.69,7.55
Bionic Commando Rearmed,2008-08-13,Platformer,9.3,Amazing,Capcom,Capcom,18,15,16,350000,6.49,5.02,8.74,13.15,6.45
BioShock Infinite,2013-03-21,Shooter,9.5,Amazing,Irrational Games;Aspyr (Mac);Virtual Programming (Linux),2K;Aspyr (Mac),18,614,519,3500000,19.99,11.54,16.06,28.46,13.97
Bit.Trip Beat,2010-11-08,Action,7.5,Good,Gaijin Games,Gaijin Games,0,78,141,350000,6.99,3.3,6.95,11.02,3.94
Bit.Trip Runner,2011-03-21,Platformer,7.0,Good,Gaijin Games,Gaijin Games,0,149,202,750000,6.99,8.44,13.22,27.13,11.09
Black Mirror III: Final Fear,2011-05-11,Adventure,7.5,Good,Cranberry Production,THQ Nordic,0,0,0,75000,6.99,13.21,15.12,15.28,14.07
Blackguards,2014-01-30,RPG,7.8,Good,Daedalic Entertainment,Daedalic Entertainment,0,174,232,750000,26.99,40.46,44.09,58.23,43.76
Blackguards 2,2015-01-16,RPG,7.8,Good,Daedalic Entertainment,Daedalic Entertainment,0,151,158,350000,11.49,16.99,21.58,26.98,21.43
Blacklight: Tango Down,2010-07-27,Shooter,6.5,Okay,Zombie Studios,Ignition Entertainment,0,129,193,75000,0.79,2.42,2.52,0.0,2.47
Blade Kitten,2010-09-24,Action,5.0,Mediocre,Krome Studios,Krome Studios,0,222,360,75000,1.99,5.0,8.07,11.66,6.5
Blitzkrieg,2003-04-22,Strategy,8.2,Great,Nival,Nival,0,221,221,75000,7.19,23.77,0.0,0.0,23.77
Blood Bowl,2010-01-29,"Sports,Simulation",6.4,Okay,Cyanide Studios,Focus Home Interactive,0,284,380,350000,7.99,6.12,154.86,2642.02,69.9
Blood Bowl II,2015-09-23,Sports,7.8,Good,Cyanide Studios,Focus Home Interactive,0,1433,1433,350000,14.99,15.66,0.0,0.0,15.66
BloodRayne,2003-10-14,Action,7.3,Good,Terminal Reality,Majesco Entertainment,0,111,111,75000,6.99,7.08,8.08,10.25,7.69
BloodRayne 2,2005-08-18,Action,6.8,Okay,Terminal Reality,Majesco Entertainment,0,771,771,75000,6.99,8.99,9.89,10.53,9.35
Blueberry Garden,2009-06-25,Other,6.0,Okay,Erik Svedäng,Erik Svedäng,0,9,9,35000,3.99,1.3,1.21,1.32,1.29
Bombshell,2016-01-29,Action,6.9,Okay,Slipgate Ironworks™,3D Realms,0,0,0,35000,29.99,9.72,11.75,14.26,10.99
Bone: Out From Boneville,2005-10-03,Adventure,5.9,Mediocre,Telltale Games,Telltale Games,0,0,0,150000,0.0,1.79,1.95,2.0,1.89
Borderlands,2010-02-26,"Action,RPG",8.8,Great,2K Australia;Gearbox Software;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),18,1661,886,3500000,29.99,22.21,35.11,63.25,32.72
Borderlands 2,2012-09-13,"Shooter,RPG",9.0,Amazing,Gearbox Software;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),18,3276,1139,7500000,19.99,30.1,54.85,130.45,52.52
Botanicula,2012-04-26,Adventure,9.0,Amazing,Amanita Design,Amanita Design,0,16,20,350000,7.99,3.45,3.83,5.03,3.94
Bound by Flame,2014-05-12,"Action,RPG",7.0,Good,Spiders,Focus Home Interactive,0,731,731,350000,14.99,12.57,16.77,21.54,16.07
Braid,2009-04-13,Platformer,8.8,Great,Number None,Number None,0,178,251,1500000,10.99,5.07,5.96,7.76,5.75
Brigade E5: New Jagged Union,2007-01-22,Strategy,3.0,Awful,Apeiron,1C Entertainment,0,0,0,10000,0.0,55.74,0.0,0.0,55.74
Brink,2011-05-10,Shooter,6.5,Okay,Splash Damage,Bethesda Softworks,0,181,99,1500000,0.0,6.37,12.99,21.59,9.1
Broforce,2015-10-20,Action,8.8,Great,Free Lives,Devolver Digital,0,498,459,1500000,11.99,7.19,10.02,17.62,8.9
Broken Age: Act 1,2014-01-16,Adventure,9.5,Amazing,Double Fine Productions,Double Fine Productions,0,271,271,750000,11.39,3.71,4.02,4.57,3.83
Broken Sword: The Sleeping Dragon,2003-11-25,Adventure,8.4,Great,Revolution Software Ltd,Revolution Software Ltd,0,1177,1177,350000,4.99,10.15,10.19,10.55,10.24
Brothers: A Tale of Two Sons,2013-08-06,Adventure,8.2,Great,Starbreeze Studios AB,505 Games,0,128,155,1500000,10.99,3.08,3.5,4.04,3.38
Brothers in Arms: Road to Hill 30,2005-03-15,Shooter,9.1,Amazing,Gearbox Software,Ubisoft,0,69,69,150000,4.29,7.9,9.43,13.37,8.28
Brothers in Arms: Earned in Blood,2005-10-04,Shooter,8.8,Great,Gearbox Software,Ubisoft,0,164,164,150000,4.29,6.99,9.07,14.31,7.58
Brothers in Arms: Hell's Highway (Limited Edition),2008-10-07,Shooter,7.9,Good,Gearbox Software,Ubisoft,0,346,346,150000,8.59,7.83,8.88,13.85,8.07
Brothers in Arms: Hell's Highway,2008-10-07,Shooter,7.9,Good,Gearbox Software,Ubisoft,0,346,346,150000,8.59,7.83,8.88,13.85,8.07
Bulletstorm,2011-02-22,Action,8.0,Great,People Can Fly,Gearbox Publishing,18,521,638,75000,29.99,7.48,9.2,18.15,8.13
Bully: Scholarship Edition,2008-10-28,Action,7.8,Good,Rockstar New England,Rockstar Games,0,319,225,1500000,9.99,14.57,19.3,27.6,18.83
Burnout Paradise: The Ultimate Box,2009-02-03,Racing,8.4,Great,Criterion Games,Electronic Arts,0,431,576,1500000,9.99,10.95,19.51,36.64,15.75
Caesar IV,2006-10-17,Strategy,7.7,Good,"Tilted Mill Entertainment, Inc.",Activision,0,0,0,150000,7.99,17.42,28.0,68.75,30.56
Call of Cthulhu: Dark Corners of the Earth,2006-04-26,Adventure,7.8,Good,Infogrames,Atari,0,0,0,35000,4.79,11.7,13.33,16.72,12.43
Call of Duty: Black Ops II,2012-11-13,Shooter,9.3,Amazing,Treyarch,Activision,18,524,400,3500000,39.99,7.06,10.6,30.89,8.38
Call of Duty,2003-10-27,Shooter,9.3,Amazing,Infinity Ward,Activision,0,545,849,350000,14.99,6.87,8.83,9.94,7.22
Call of Duty: United Offensive,2004-09-14,Action,8.4,Great,Gray Matter Studios,Activision,0,0,0,350000,14.99,5.67,6.26,8.18,6.0
Call of Duty: World at War,2008-11-11,Shooter,9.2,Amazing,Treyarch,Activision,16,2331,1108,1500000,19.99,7.05,11.12,25.49,8.42
Call of Duty: World at War (Collector's Edition),2008-11-11,Shooter,9.2,Amazing,Treyarch,Activision,16,2331,1108,1500000,19.99,7.05,11.12,25.49,8.42
Call of Duty: Modern Warfare 2,2009-11-10,Shooter,9.5,Amazing,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),0,999,580,7500000,19.99,6.61,10.65,31.04,8.88
Call of Duty: Black Ops,2010-11-10,Shooter,8.5,Great,Treyarch,Activision,18,2672,517,3500000,29.99,7.13,12.81,17.91,8.37
Call of Duty: Modern Warfare 3,2011-11-09,Shooter,9.0,Amazing,Infinity Ward,Activision,0,545,849,350000,14.99,6.13,10.0,39.19,7.82
Call of Duty: Ghosts,2013-11-05,Shooter,8.8,Great,Infinity Ward,Activision,16,266,307,1500000,39.99,6.02,8.46,12.83,6.61
Call of Duty: Advanced Warfare,2014-11-03,Shooter,9.1,Amazing,Infinity Ward,Activision,0,545,849,350000,14.99,7.13,10.69,17.85,8.31
Call of Duty 2,2005-10-25,Shooter,8.5,Great,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),0,750,1041,350000,14.99,8.02,9.57,11.18,8.67
Call of Duty 4: Modern Warfare,2007-11-05,Shooter,9.4,Amazing,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),0,1417,1503,1500000,19.99,6.89,9.36,16.29,7.53
Call of Juarez,2007-07-18,Shooter,6.8,Okay,Techland,Techland Publishing,0,46,60,150000,8.59,7.85,9.34,10.87,8.38
Call of Juarez: Bound in Blood,2009-06-30,Shooter,7.7,Good,Techland,Ubisoft,0,13,13,350000,8.59,7.46,8.32,12.66,8.08
Call of Juarez: The Cartel,2011-09-16,Shooter,4.5,Bad,Techland,Techland Publishing,0,46,60,150000,8.59,6.97,9.19,19.36,8.05
Call of Juarez: Gunslinger,2013-05-24,Shooter,7.5,Good,Techland,Techland Publishing,0,46,60,150000,8.59,5.07,7.01,14.14,6.04
Capsized,2011-05-19,Platformer,8.5,Great,Alientrap,Alientrap,0,152,153,350000,5.99,3.87,6.15,10.0,4.32
Cargo! The Quest for Gravity,2011-05-27,Adventure,5.5,Mediocre,Ice-Pick Lodge,Ice-Pick Lodge;bitComposer Games;Viva Media;Nordic Games,0,540,540,75000,6.99,5.77,8.96,14.37,8.06
Castlevania: Lords of Shadow 2,2014-02-25,Action,6.5,Okay,MercurySteam,Konami Digital Entertainment,16,732,732,350000,24.99,14.68,20.55,32.71,17.34
Ceville,2009-03-27,Adventure,9.0,Amazing,Realmforge Studios,Assemble Entertainment,0,0,0,35000,4.79,8.47,9.88,10.24,9.33
Champions Online,2009-09-16,RPG,7.6,Good,Cryptic Studios,Perfect World Entertainment,0,12952,724,1500000,0.0,370.0,0.0,0.0,370.0
Chaser,2003-10-06,Shooter,7.5,Good,Cauldron,THQ Nordic,0,0,0,75000,4.49,15.22,15.88,16.04,15.66
Chicago 1930,2004-07-30,Strategy,5.0,Mediocre,Spellbound,Microids,0,0,0,10000,3.99,9.53,11.75,12.07,11.5
Child of Light,2014-04-29,RPG,9.3,Amazing,Ubisoft Montréal,Ubisoft,0,605,818,750000,12.49,11.2,13.45,15.44,13.14
Chivalry: Medieval Warfare,2012-10-29,Adventure,7.9,Good,Torn Banner Studios,Torn Banner Studios,0,675,293,7500000,18.99,13.93,34.02,172.15,60.68
Chris Sawyer's Locomotion,2004-10-05,Simulation,5.8,Mediocre,Chris Sawyer,Atari,0,0,0,35000,4.79,23.5,0.0,0.0,23.5
Chronicles of Mystery: Scorpio Ritual,2008-12-02,Adventure,7.5,Good,City Interactive S.A.,City Interactive S.A.,0,0,0,35000,3.99,4.31,4.62,4.49,4.41
Chronos,2016-04-14,RPG,8.0,Great,Martin Nayeri,nima,0,0,0,35000,0.0,10.79,14.32,15.0,12.59
Cities: Skylines,2015-03-10,Simulation,8.5,Great,Colossal Order Ltd.,Paradox Interactive,0,3225,444,7500000,22.99,27.39,68.09,177.16,54.75
Cities in Motion,2011-03-22,Simulation,7.0,Good,Colossal Order Ltd.,Paradox Interactive,0,1,1,350000,14.99,24.75,42.0,61.37,36.36
Cities in Motion 2,2013-04-11,Simulation,7.5,Good,Colossal Order Ltd.,Paradox Interactive,0,157,207,750000,14.99,32.22,84.34,0.0,44.89
Cities XL,2009-10-14,Simulation,8.1,Great,Focus Home Interactive,Focus Home Interactive,0,51,51,150000,7.49,12.75,0.0,0.0,12.75
Citizens of Earth,2015-01-23,RPG,6.5,Okay,Eden Industries,SEGA,0,529,579,150000,9.99,14.65,22.1,34.56,23.98
CivCity: Rome,2006-07-25,Simulation,8.2,Great,FireFly Studios;Firaxis Games,2K,0,0,0,75000,5.99,11.56,30.0,52.47,30.31
"Codename: Panzers, Phase One",2004-09-16,Strategy,8.3,Great,Stormregion;THQ Nordic,THQ Nordic,0,0,0,35000,13.99,15.8,20.8,25.1,19.65
"Codename: Panzers, Phase Two",2005-08-09,Strategy,8.5,Great,Stormregion;THQ Nordic,THQ Nordic,0,0,0,10000,13.99,18.03,19.96,20.17,19.8
Coffee Tycoon,2006-09-15,Simulation,4.0,Bad,The Sociopath Software,The Sociopath Software,0,0,0,10000,7.19,2.0,9.0,10.0,7.12
Cogs,2009-04-27,Puzzle,7.3,Good,"Zero Mass Energy, Inc","Zero Mass Energy, Inc",0,0,0,10000,4.79,5.21,7.84,14.67,7.56
Cold War,2005-10-03,Action,5.8,Mediocre,Mindware Studios,THQ Nordic,0,0,0,35000,4.49,7.76,9.5,11.42,8.59
Combat Wings: Battle of Britain,2009-01-05,Simulation,7.0,Good,City Interactive,CI Games,0,25,25,150000,4.99,3.11,4.43,4.75,3.51
Command & Conquer: Red Alert 3,2008-10-28,Strategy,8.2,Great,EA Los Angeles,Electronic Arts,0,575,395,750000,9.99,20.96,25.08,38.18,23.23
