title,release_date,genre,critic_score,critic_score_phrase,developer,publisher,required_age,average_playtime,median_playtime,owners,price,main_story,main_extra,completionist,all_styles
Randal's Monday,2014-12-01,Adventure,4.5,Bad,Nexus Game Studios,Daedalic Entertainment,0,13,13,150000,14.99,14.41,17.02,17.36,15.99
Ravaged,2012-10-23,Shooter,6.7,Okay,Nikhil Tailor;Ariflare,Horse Beverages,0,0,0,10000,5.99,2.35,0.0,20.0,11.18
Ravensword: Shadowlands,2013-12-21,"Action,RPG",5.6,Mediocre,Crescent Moon Games,Crescent Moon Games,0,0,0,150000,4.99,6.06,7.5,9.25,7.21
Rayman Origins,2012-03-29,Platformer,9.5,Amazing,UBIart Montpellier;Feral Interactive (Mac),Ubisoft;Feral Interactive (Mac),0,266,497,350000,8.59,10.99,14.45,21.63,13.91
Razor2: Hidden Skies,2010-08-02,Shooter,7.0,Good,Invent4 Entertainment,Strategy First,0,28,28,75000,6.99,1.73,0.0,4.25,2.36
RC Cars,2003-12-23,Racing,7.5,Good,Creat Studio,1C Entertainment,0,0,0,10000,1.99,3.75,0.0,6.52,5.14
Rebel Galaxy,2015-10-16,Simulation,8.0,Great,Double Damage Games,Double Damage Games,0,618,912,750000,14.99,21.99,31.31,55.2,32.63
Recettear: An Item Shop's Tale,2010-09-21,RPG,7.5,Good,EasyGameStation,Carpe Fulgur LLC,0,764,1136,350000,12.99,13.24,25.18,49.72,17.1
ReCore,2016-09-13,Adventure,7.3,Good,Armature Studio;Comcept,Microsoft Studios,0,0,0,10000,14.99,12.16,18.42,36.27,16.58
Red Faction: Guerrilla,2009-09-16,Shooter,8.0,Great,"Volition, Inc.",THQ Nordic,0,79,107,750000,4.99,13.3,20.71,43.05,18.03
Red Faction: Armageddon,2011-06-13,Action,7.0,Good,Volition,THQ Nordic,18,307,436,1500000,14.99,8.02,10.41,19.8,9.05
Red Faction II,2003-04-10,Shooter,7.4,Good,"Volition, Inc.",THQ Nordic,0,0,0,750000,4.99,4.48,5.71,6.38,5.02
Red Orchestra: Ostfront 41-45,2006-03-31,Shooter,8.5,Great,Tripwire Interactive,Tripwire Interactive,0,232,258,750000,3.99,0.0,0.0,44.0,44.0
Redshirt,2013-12-03,Action,7.4,Good,The Tiniest Shark,Positech,0,281,281,35000,6.99,5.96,6.54,37.75,7.16
Resident Evil,2015-01-19,Action,8.0,Great,Slant Six Games,Capcom Co. Ltd,0,237,237,150000,22.99,11.48,14.02,23.45,12.8
Resident Evil 4,2007-05-25,"Action,Adventure",7.7,Good,Scrap Games,Scrap Games,0,0,0,10000,1.69,16.16,21.5,64.25,21.38
Resident Evil 5,2009-09-10,Action,9.3,Amazing,Scrap Games,Scrap Games,0,0,0,10000,1.69,12.1,16.8,35.38,14.72
Resonance,2012-07-23,Adventure,7.0,Good,XII Games,Wadjet Eye Games,0,219,219,75000,6.99,8.03,9.07,9.89,8.44
Restaurant Empire,2003-05-27,Simulation,7.8,Good,Enlight Software Limited,Enlight Software Limited,0,0,0,75000,13.99,38.41,0.0,0.0,38.41
Restaurant Empire 2,2009-06-09,Simulation,6.9,Okay,Enlight Software Limited,Enlight Software Limited,0,0,0,75000,13.99,51.0,0.0,60.92,55.96
Retro City Rampage,2012-10-15,"Action,Adventure",5.3,Mediocre,"Vblank Entertainment, Inc.","Vblank Entertainment, Inc.",0,540,629,350000,10.99,6.32,8.25,10.73,6.83
Retrovirus,2013-02-20,Shooter,6.6,Okay,Cadenza Interactive,Cadenza Interactive,0,105,105,35000,7.19,12.3,13.0,0.0,12.47
Reus,2013-05-23,Simulation,6.8,Okay,Abbey Games,Abbey Games,0,1293,195,750000,6.99,8.26,20.84,67.94,26.73
Revenge of The Titans,2011-05-25,Strategy,7.0,Good,Puppygames,Puppygames,0,121,158,350000,11.39,10.21,14.33,21.96,11.5
Rhiannon: Curse of the Four Branches,2008-11-14,Adventure,7.5,Good,Arberth Studios,Meridian4,0,0,0,75000,3.99,6.96,0.0,10.0,7.98
Rift,2011-03-18,RPG,8.5,Great,Trion Worlds,Trion Worlds,0,4104,1997,3500000,0.0,105.64,201.4,649.0,172.47
Rise of Nations,2003-05-21,Strategy,8.2,Great,SkyBox Labs;Big Huge Games,Microsoft Studios,0,2379,2379,750000,14.99,16.36,41.15,92.82,24.91
Rise of the Argonauts,2008-12-17,"Action,RPG",6.5,Okay,Liquid Entertainment,Codemasters,0,88,147,350000,4.99,12.11,13.43,16.19,13.29
Rise of the Tomb Raider,2015-11-09,"Action,Adventure",9.3,Amazing,Crystal Dynamics;Eidos-Montréal;Feral Interactive (Mac);Feral Interactive (Linux);Nixxes software,Square Enix;Feral Interactive (Mac);Feral Interactive (Linux),18,817,656,3500000,39.99,13.34,21.89,35.34,20.21
Rise of the Triad,2013-08-06,Shooter,4.3,Bad,Slipgate Ironworks™,Apogee Software,18,280,343,350000,10.99,7.53,10.65,41.28,12.24
Risen,2009-10-09,RPG,8.6,Great,Piranha Bytes,Deep Silver,0,994,650,750000,7.99,27.84,37.37,45.88,36.93
Risen 2: Dark Waters,2012-04-23,RPG,6.5,Okay,Piranha Bytes,Deep Silver,0,1278,1257,1500000,7.99,26.02,33.9,46.12,35.15
Risen 3: Titan Lords,2014-08-12,RPG,5.2,Mediocre,Piranha Bytes,Deep Silver,16,412,589,750000,10.99,25.16,40.75,53.91,42.27
Risk: Factions,2011-03-15,Strategy,7.5,Good,Stainless Games,Electronic Arts,0,979,1754,75000,7.99,2.29,3.44,8.93,3.81
Rive,2016-09-14,Shooter,6.5,Okay,Two Tribes,Two Tribes Publishing,0,95,161,350000,10.99,6.94,8.6,15.62,8.3
Road Not Taken,2014-08-05,Puzzle,6.7,Okay,Spry Fox LLC,Spry Fox LLC,0,0,0,35000,10.99,6.97,12.41,24.46,10.17
RoboBlitz,2006-11-07,Action,8.0,Great,Naked Sky Entertainment,Naked Sky Entertainment,0,78,78,35000,5.99,3.62,4.88,0.0,3.98
Robots,2005-03-08,Action,5.0,Mediocre,xuan,xuan,0,0,0,10000,0.79,7.13,8.2,0.0,7.3
Rock of Ages,2011-09-19,Action,7.5,Good,ACE Team,SEGA,0,235,231,350000,6.99,4.03,5.89,11.78,5.21
Rocket League,2015-07-15,Sports,8.0,Great,"Psyonix, Inc.","Psyonix, Inc.",0,5825,1462,7500000,14.99,4.59,26.24,103.27,48.31
Rogue Legacy,2013-07-26,RPG,9.0,Amazing,Cellar Door Games,Cellar Door Games,0,769,644,1500000,10.99,16.45,26.27,38.33,21.55
Rogue Trooper,2006-06-08,Action,8.0,Great,Rebellion,Rebellion,0,0,0,75000,6.99,5.63,7.36,9.92,6.22
Rogue Warrior,2009-12-04,Shooter,1.5,Unbearable,Rebellion,Bethesda Softworks,0,29,29,75000,3.99,2.24,3.52,5.0,2.56
RollerCoaster Tycoon 2: Wacky Worlds,2003-05-30,Simulation,5.5,Mediocre,Chris Sawyer Productions,Atari,0,200,262,750000,6.99,12.0,0.0,0.0,12.0
RollerCoaster Tycoon 3,2004-10-27,Simulation,8.5,Great,Nvizzio Creations,Atari;RCTO Productions,0,2577,4878,150000,10.99,16.13,30.22,32.01,25.24
Romance of The Three Kingdoms XI,2008-09-11,Strategy,7.2,Good,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0,0,0,10000,9.99,37.0,88.33,0.0,63.4
Rome: Total War,2004-09-22,Strategy,9.4,Amazing,CREATIVE ASSEMBLY,SEGA,0,897,1192,1500000,8.99,34.32,52.85,126.35,53.12
Rome: Total War -- Barbarian Invasion,2005-09-29,Strategy,8.8,Great,CREATIVE ASSEMBLY,SEGA,0,897,1192,1500000,8.99,17.35,52.0,0.0,20.67
